title,article,published,article_id,question_1,question_2
Krigsoro bland finska barn: ”Mormor bor vid gränsen”,"Även om det inte finns något direkt ryskt hot mot Finland i nuläget så gränsar de båda länderna till varandra. Något som har skapat en oro för att konflikten i Ukraina ska sprida sig till landet, inte minst bland barn och unga. BBC har besökt en skola i finska Uleåborg, 25 mil från den ryska gränsen, för att prata med eleverna om deras syn på kriget. – Min mormor bor i Kuhmo som ligger väldigt nära gränsen. Jag är orolig för att hon inte ska överleva om Ryssland attackerar, berättar 12-åriga Riikka.15-åriga Olli säger att hans orosnivå höjdes från en tvåa, på en tiogradig skala, till en åtta när den ryska invasionen i Ukraina inleddes.  – Men nu börjar jag vänja mig vid kriget, jag börjar sakta bli avtrubbad, säger han. ",2022-03-30T08:32:25Z,34OlEd,Vad oroar eleverna på skolan i Uleåborg när det gäller konflikten i Ukraina?,Hur har 15-åriga Ollis orosnivå förändrats under konflikten i Ukraina?
Microsoft har upptäckt 237 cyberattacker mot Ukraina,"Den amerikanska teknikjätten Microsoft har upptäckt 237 cyberattacker mot Ukraina sedan den ryska invasionen inleddes. Det skriver bolaget i en rapport, enligt TT.Attackerna ska ha kommit från minst sex olika länder som står nära Ryssland, och det rör sig främst om försök att störa myndigheters och företags verksamhet. Desinformation har också skickats ut – exempelvis via mejl – direkt riktad mot civila. Enligt Microsoft tycks attackerna vara koordinerade med den militära verksamheten, och teknikjätten tror att de kommer att de kommer att eskalera i takt även fortsättningsvis.",2022-04-28T03:16:07Z,nW2yVo,Hur många cyberattacker har Microsoft upptäckt mot Ukraina sedan den ryska invasionen inleddes?,Vilka länder har enligt Microsoft utfört cyberattacker mot Ukraina?
Ökad risk för olyckor när svenskar preppar för kris,"När allt fler svenskar preppar till följd av kriget i Ukraina kan också fler komma att ha brandfarliga varor, som gas och bensin, hemma, rapporterar SVT Västmanland. För den som börjat bunkra är det viktigt att ta reda på vad som gäller, säger brandingenjören Fredrik Eriksson på Räddningstjänsten Mälardalen. Exempelvis får personer som bor i flerfamiljshus inte förvara gas och bensin i förrådet, på vinden eller i källaren.Efterfrågan hos svenska försvarsföretag ökade markant redan innan krigsutbrottet, rapporterar TT. På företaget Snigeldesign, som utvecklar skyddsvästar och ryggsäckar för att bära utrustning, tredubblades omsättningen i fjol till följd av geopolitisk oro.– Det finns helt plötsligt ett annat intresse att tidigarelägga och utöka redan befintliga kontrakt, säger vd:n Carl Jonasson.",2022-03-20T07:53:04Z,MLb3pK,Varför kan fler svenskar ha brandfarliga varor hemma till följd av kriget i Ukraina?,Vilket företag har tredubblat sin omsättning till följd av geopolitisk oro?
Biden: Redo för samtal om Putin verkligen vill ha fred,"Den amerikanske presidenten Joe Biden är redo att samtala med Rysslands Vladimir Putin, om den ryske presidenten visar ett genuint intresse av att avsluta kriget i Ukraina. Det sa Biden i samband med ett besök av Frankrikes president Emanuel Macron, skriver Financial Times.Biden sa dock att han inte kommer att träffa Putin utan att först ha konsulterat sina allierade inom Nato. Han sa också att han i nuläget inte ser några tecken på att Putin är villig att avsluta kriget.På en gemensam presskonferens underströk också Biden och Macron att deras länder tillsammans med resten av Nato och EU står enade mot Ryssland, skriver AFP. Macron underströk att Ukraina aldrig kommer att pressas att gå med på en fredsuppgörelse som inte är acceptabel ur ukrainskt perspektiv.",2022-12-02T05:04:31Z,P4gGA5,Vad kräver Joe Biden av Vladimir Putin för att han ska vara redo att samtala med honom?,Vad sa Joe Biden om Putins vilja att avsluta kriget i Ukraina?
En ny sorts luftstrid: Så slåss drönare mot drönare över Ukraina,"Glöm pistoler och gevär. I himlen över Ukraina pågår en ny sorts luftstrid – mellan drönare. I oktober förra året spreds en film på sociala medier där en ukrainsk drönare kör in i en rysk drönare så att den kraschar. Det var det första kända striden mellan drönare under ett krig, skriver The Economist.Sedan dess har ukrainska styrkor delat fler videos med liknande dueller. På samma sätt finns det rapporter om ryska attacker på ukrainska drönare, även om informationen om dessa är mer knapphändig.Frågan är vad utvecklingen kommer att ha för betydelse? Kanske kommer människans roll i framtida luftstrider att reduceras till observatörer, föreslår tidningen.",2023-02-09T15:00:00Z,VPjzG6,Vad pågår för sorts luftstrid i himlen över Ukraina?,Vad föreslår The Economist kan ske med människans roll i framtida luftstrider?
Ukraina: Hoppas evakuera 6 000 civila från Mariupol,"Ukraina och Ryssland har gjort en preliminär överenskommelse med Ryssland om en humanitär korridor för att evakuera kvinnor, barn och äldre från den belägrade hamnstaden Mariupol. Det rapporterar Reuters.Enligt Mariupols borgmästare befinner sig fortfarande 100 000 civila i staden. Förhoppningen är att kunna evakuera 6 000 av dem med 90 bussar under onsdagen.",2022-04-20T06:51:29Z,8Q8o92,Vad har Ryssland och Ukraina gjort en preliminär överenskommelse om?,Hur många civila hoppas man kunna evakuera från Mariupol?
Över 5 000 civila evakuerade från Sumy under tisdagen,"Över 5 000 civila har under tisdagen lyckats ta sig ut från staden Sumy i nordöstra Ukraina. Det säger Iryna Veresjtjuk, Ukrainas vice premiärminister, enligt Sky News. Ryssland uppgav att de skulle öppna fem humanitära korridorer i Ukraina under tisdagen. Enligt Ryssland bekräftade Ukraina bara flyktvägen ut ur Sumy.Veresjtjuk hävdar å sin sida att den humanitära korridoren i Mariupol blev beskjuten av Ryssland. – De riktade sina beskjutningar mot varor och civila, säger hon.Inte heller i Tjernihiv, Charkiv eller Kyiv ska flyktvägarna ha kunnat användas. ",2022-03-08T16:02:27Z,ja7qRz,Hur många civila lyckades ta sig ut från Sumy under tisdagen?,Vad hävdar Ukraina om Rysslands beskjutning av den humanitära korridoren i Mariupol?
Analyser: Rysk seger verkar inte ligga i Kinas intresse,"En rysk seger i det pågående kriget i Ukraina verkar inte ligga i Kinas intresse. Den slutsatsen drar Csaba Barnabas Horvath i en analys i Eurasia Review. I stället vill Kina se ett ”utdraget utmattningskrig” som försvagar och isolerar Ryssland och gör landet mer beroende av relationen till sin asiatiska granne, skriver han. ”I korta drag så har det kinesisk-ryska samarbetet de senaste åren bara handlat om att hitta en gemensam grund mot USA, snarare än att de två sett varandra som verkligt pålitliga allierade.”Steven Lee Myers och Chris Buckley skriver i en analys i The New York Times att det är möjligt att Kina vill utnyttja läget för att framstå som en ”stabil pelare i en allt mer turbulent värld” och därför väljer att ligga lågt. Skribenterna hänvisar till en artikel av professor Zheng Yongnian, tidigare rådgivare till kinesiska regeringen, som skriver att Kina kan få en viktig roll i att bygga en ny internationell ordning så länge landet inte begår strategiska misstag. ",2022-03-16T06:42:10Z,XqLkAo,Varför verkar inte en rysk seger i kriget i Ukraina ligga i Kinas intresse?,Vad vill Kina i stället se hända i kriget i Ukraina enligt Csaba Barnabas Horvath?
Historiska S-mötet igång: ”Svåraste beslutet under alla mina år”,"Under söndagen samlas S-ledningen för diskussioner som i slutändan ska landa i ett ja eller nej till svenskt Natomedlemskap. Beslutet presenteras senare under dagen.– Det är ett väldigt spännande möte som jag ser mycket fram emot, säger utrikesminister Ann Linde när hon anländer till partiets högkvarter.EU-parlamentarikern Heléne Fritzon betonar att det finns en stor tveksamhet i Skåne.– Det här är nog det svåraste beslutet under alla mina år, säger hon.Enligt källor till SvD väntas Sverige skicka in en ansökan redan på tisdag, förutsatt att både Sverige och Finland landat i ett beslut innan dess.– Vi får se vad som händer, säger migrations- och integrationsminister Anders Ygeman.",2022-05-15T08:21:34Z,Jx9EGP,Vad är det som väntas hända på tisdag?,Vad säger EU-parlamentarikern Heléne Fritzon om det kommande beslutet?
Upp till 1 700 tros ha gett upp vid stålverket – ryska befälhavare under press,"Det är troligt att upp till 1 700 ukrainska soldater har överlämnat sig vid stålverket Azovstal i Mariupol. Det skriver Storbritanniens försvarsdepartement i sin senaste lägesrapport på Twitter. Ett okänt antal soldater uppges fortfarande befinna sig i stålverket.Efter att ha tagit kontroll över Mariupol kommer de ryska styrkorna från operationen sannolikt att användas till förstärkningar i den ryska Donbas-offensiven. Det väntas dock ta viss tid innan styrkorna är redo att sättas in, då dessa varit i Mariupol länge och har behov av bland annat förnyad utrustning.Samtidigt är ryska befälhavare under hård press att uppvisa resultat, enligt lägesbilden. Därför är det sannolikt att Ryssland kommer förflytta styrkorna snabbt, och utan den förberedelse som behövs, vilket innebär risker.",2022-05-20T06:18:27Z,x8BXEj,Vad väntas hända med de ryska styrkorna efter att de tagit kontroll över Mariupol?,Vad kan hända om de ryska styrkorna förflyttas snabbt utan förberedelse?
